"UNISTR_CHR","UNISTR_TXT","HTML_ENTITY","NOTES"
"\D804\DEF9","\D804\DEF9","&#x112f9;","KHUDAWADI DIGIT NINE"
"\D804\DF00","\D804\DF00","&#x11300;","GRANTHA SIGN COMBINING ANUSVARA ABOVE"
"\D804\DF01","\D804\DF01","&#x11301;","GRANTHA SIGN CANDRABINDU"
"\D804\DF02","\D804\DF02","&#x11302;","GRANTHA SIGN ANUSVARA"
"\D804\DF03","\D804\DF03","&#x11303;","GRANTHA SIGN VISARGA"
"\D804\DF05","\D804\DF05","&#x11305;","GRANTHA LETTER A"
"\D804\DF06","\D804\DF06","&#x11306;","GRANTHA LETTER AA"
"\D804\DF07","\D804\DF07","&#x11307;","GRANTHA LETTER I"
"\D804\DF08","\D804\DF08","&#x11308;","GRANTHA LETTER II"
"\D804\DF09","\D804\DF09","&#x11309;","GRANTHA LETTER U"
"\D804\DF0A","\D804\DF0A","&#x1130a;","GRANTHA LETTER UU"
"\D804\DF0B","\D804\DF0B","&#x1130b;","GRANTHA LETTER VOCALIC R"
"\D804\DF0C","\D804\DF0C","&#x1130c;","GRANTHA LETTER VOCALIC L"
"\D804\DF0F","\D804\DF0F","&#x1130f;","GRANTHA LETTER EE"
"\D804\DF10","\D804\DF10","&#x11310;","GRANTHA LETTER AI"
"\D804\DF13","\D804\DF13","&#x11313;","GRANTHA LETTER OO"
"\D804\DF14","\D804\DF14","&#x11314;","GRANTHA LETTER AU"
"\D804\DF15","\D804\DF15","&#x11315;","GRANTHA LETTER KA"
"\D804\DF16","\D804\DF16","&#x11316;","GRANTHA LETTER KHA"
"\D804\DF17","\D804\DF17","&#x11317;","GRANTHA LETTER GA"
"\D804\DF18","\D804\DF18","&#x11318;","GRANTHA LETTER GHA"
"\D804\DF19","\D804\DF19","&#x11319;","GRANTHA LETTER NGA"
"\D804\DF1A","\D804\DF1A","&#x1131a;","GRANTHA LETTER CA"
"\D804\DF1B","\D804\DF1B","&#x1131b;","GRANTHA LETTER CHA"
"\D804\DF1C","\D804\DF1C","&#x1131c;","GRANTHA LETTER JA"
"\D804\DF1D","\D804\DF1D","&#x1131d;","GRANTHA LETTER JHA"
"\D804\DF1E","\D804\DF1E","&#x1131e;","GRANTHA LETTER NYA"
"\D804\DF1F","\D804\DF1F","&#x1131f;","GRANTHA LETTER TTA"
"\D804\DF20","\D804\DF20","&#x11320;","GRANTHA LETTER TTHA"
"\D804\DF21","\D804\DF21","&#x11321;","GRANTHA LETTER DDA"
"\D804\DF22","\D804\DF22","&#x11322;","GRANTHA LETTER DDHA"
"\D804\DF23","\D804\DF23","&#x11323;","GRANTHA LETTER NNA"
"\D804\DF24","\D804\DF24","&#x11324;","GRANTHA LETTER TA"
"\D804\DF25","\D804\DF25","&#x11325;","GRANTHA LETTER THA"
"\D804\DF26","\D804\DF26","&#x11326;","GRANTHA LETTER DA"
"\D804\DF27","\D804\DF27","&#x11327;","GRANTHA LETTER DHA"
"\D804\DF28","\D804\DF28","&#x11328;","GRANTHA LETTER NA"
"\D804\DF2A","\D804\DF2A","&#x1132a;","GRANTHA LETTER PA"
"\D804\DF2B","\D804\DF2B","&#x1132b;","GRANTHA LETTER PHA"
"\D804\DF2C","\D804\DF2C","&#x1132c;","GRANTHA LETTER BA"
"\D804\DF2D","\D804\DF2D","&#x1132d;","GRANTHA LETTER BHA"
"\D804\DF2E","\D804\DF2E","&#x1132e;","GRANTHA LETTER MA"
"\D804\DF2F","\D804\DF2F","&#x1132f;","GRANTHA LETTER YA"
"\D804\DF30","\D804\DF30","&#x11330;","GRANTHA LETTER RA"
"\D804\DF32","\D804\DF32","&#x11332;","GRANTHA LETTER LA"
"\D804\DF33","\D804\DF33","&#x11333;","GRANTHA LETTER LLA"
"\D804\DF35","\D804\DF35","&#x11335;","GRANTHA LETTER VA"
"\D804\DF36","\D804\DF36","&#x11336;","GRANTHA LETTER SHA"
"\D804\DF37","\D804\DF37","&#x11337;","GRANTHA LETTER SSA"
"\D804\DF38","\D804\DF38","&#x11338;","GRANTHA LETTER SA"
"\D804\DF39","\D804\DF39","&#x11339;","GRANTHA LETTER HA"
"\D804\DF3B","\D804\DF3B","&#x1133b;","COMBINING BINDU BELOW"
"\D804\DF3C","\D804\DF3C","&#x1133c;","GRANTHA SIGN NUKTA"
"\D804\DF3D","\D804\DF3D","&#x1133d;","GRANTHA SIGN AVAGRAHA"
"\D804\DF3E","\D804\DF3E","&#x1133e;","GRANTHA VOWEL SIGN AA"
"\D804\DF3F","\D804\DF3F","&#x1133f;","GRANTHA VOWEL SIGN I"
"\D804\DF40","\D804\DF40","&#x11340;","GRANTHA VOWEL SIGN II"
"\D804\DF41","\D804\DF41","&#x11341;","GRANTHA VOWEL SIGN U"
"\D804\DF42","\D804\DF42","&#x11342;","GRANTHA VOWEL SIGN UU"
"\D804\DF43","\D804\DF43","&#x11343;","GRANTHA VOWEL SIGN VOCALIC R"
"\D804\DF44","\D804\DF44","&#x11344;","GRANTHA VOWEL SIGN VOCALIC RR"
"\D804\DF47","\D804\DF47","&#x11347;","GRANTHA VOWEL SIGN EE"
"\D804\DF48","\D804\DF48","&#x11348;","GRANTHA VOWEL SIGN AI"
"\D804\DF4B","\D804\DF4B","&#x1134b;","GRANTHA VOWEL SIGN OO"
"\D804\DF4C","\D804\DF4C","&#x1134c;","GRANTHA VOWEL SIGN AU"
"\D804\DF4D","\D804\DF4D","&#x1134d;","GRANTHA SIGN VIRAMA"
"\D804\DF50","\D804\DF50","&#x11350;","GRANTHA OM"
"\D804\DF57","\D804\DF57","&#x11357;","GRANTHA AU LENGTH MARK"
"\D804\DF5D","\D804\DF5D","&#x1135d;","GRANTHA SIGN PLUTA"
"\D804\DF5E","\D804\DF5E","&#x1135e;","GRANTHA LETTER VEDIC ANUSVARA"
"\D804\DF5F","\D804\DF5F","&#x1135f;","GRANTHA LETTER VEDIC DOUBLE ANUSVARA"
"\D804\DF60","\D804\DF60","&#x11360;","GRANTHA LETTER VOCALIC RR"
"\D804\DF61","\D804\DF61","&#x11361;","GRANTHA LETTER VOCALIC LL"
"\D804\DF62","\D804\DF62","&#x11362;","GRANTHA VOWEL SIGN VOCALIC L"
"\D804\DF63","\D804\DF63","&#x11363;","GRANTHA VOWEL SIGN VOCALIC LL"
"\D804\DF66","\D804\DF66","&#x11366;","COMBINING GRANTHA DIGIT ZERO"
"\D804\DF67","\D804\DF67","&#x11367;","COMBINING GRANTHA DIGIT ONE"
"\D804\DF68","\D804\DF68","&#x11368;","COMBINING GRANTHA DIGIT TWO"
"\D804\DF69","\D804\DF69","&#x11369;","COMBINING GRANTHA DIGIT THREE"
"\D804\DF6A","\D804\DF6A","&#x1136a;","COMBINING GRANTHA DIGIT FOUR"
"\D804\DF6B","\D804\DF6B","&#x1136b;","COMBINING GRANTHA DIGIT FIVE"
"\D804\DF6C","\D804\DF6C","&#x1136c;","COMBINING GRANTHA DIGIT SIX"
"\D804\DF70","\D804\DF70","&#x11370;","COMBINING GRANTHA LETTER A"
"\D804\DF71","\D804\DF71","&#x11371;","COMBINING GRANTHA LETTER KA"
"\D804\DF72","\D804\DF72","&#x11372;","COMBINING GRANTHA LETTER NA"
"\D804\DF73","\D804\DF73","&#x11373;","COMBINING GRANTHA LETTER VI"
"\D804\DF74","\D804\DF74","&#x11374;","COMBINING GRANTHA LETTER PA"
"\D804\DF80","\D804\DF80","&#x11380;","TULU-TIGALARI LETTER A"
"\D804\DF81","\D804\DF81","&#x11381;","TULU-TIGALARI LETTER AA"
"\D804\DF82","\D804\DF82","&#x11382;","TULU-TIGALARI LETTER I"
"\D804\DF83","\D804\DF83","&#x11383;","TULU-TIGALARI LETTER II"
"\D804\DF84","\D804\DF84","&#x11384;","TULU-TIGALARI LETTER U"
"\D804\DF85","\D804\DF85","&#x11385;","TULU-TIGALARI LETTER UU"
"\D804\DF86","\D804\DF86","&#x11386;","TULU-TIGALARI LETTER VOCALIC R"
"\D804\DF87","\D804\DF87","&#x11387;","TULU-TIGALARI LETTER VOCALIC RR"
"\D804\DF88","\D804\DF88","&#x11388;","TULU-TIGALARI LETTER VOCALIC L"
"\D804\DF89","\D804\DF89","&#x11389;","TULU-TIGALARI LETTER VOCALIC LL"
"\D804\DF8B","\D804\DF8B","&#x1138b;","TULU-TIGALARI LETTER EE"
"\D804\DF8E","\D804\DF8E","&#x1138e;","TULU-TIGALARI LETTER AI"
"\D804\DF90","\D804\DF90","&#x11390;","TULU-TIGALARI LETTER OO"
"\D804\DF91","\D804\DF91","&#x11391;","TULU-TIGALARI LETTER AU"
"\D804\DF92","\D804\DF92","&#x11392;","TULU-TIGALARI LETTER KA"
"\D804\DF93","\D804\DF93","&#x11393;","TULU-TIGALARI LETTER KHA"
"\D804\DF94","\D804\DF94","&#x11394;","TULU-TIGALARI LETTER GA"
"\D804\DF95","\D804\DF95","&#x11395;","TULU-TIGALARI LETTER GHA"
"\D804\DF96","\D804\DF96","&#x11396;","TULU-TIGALARI LETTER NGA"
"\D804\DF97","\D804\DF97","&#x11397;","TULU-TIGALARI LETTER CA"
"\D804\DF98","\D804\DF98","&#x11398;","TULU-TIGALARI LETTER CHA"
"\D804\DF99","\D804\DF99","&#x11399;","TULU-TIGALARI LETTER JA"
"\D804\DF9A","\D804\DF9A","&#x1139a;","TULU-TIGALARI LETTER JHA"
"\D804\DF9B","\D804\DF9B","&#x1139b;","TULU-TIGALARI LETTER NYA"
"\D804\DF9C","\D804\DF9C","&#x1139c;","TULU-TIGALARI LETTER TTA"
"\D804\DF9D","\D804\DF9D","&#x1139d;","TULU-TIGALARI LETTER TTHA"
"\D804\DF9E","\D804\DF9E","&#x1139e;","TULU-TIGALARI LETTER DDA"
"\D804\DF9F","\D804\DF9F","&#x1139f;","TULU-TIGALARI LETTER DDHA"
"\D804\DFA0","\D804\DFA0","&#x113a0;","TULU-TIGALARI LETTER NNA"
"\D804\DFA1","\D804\DFA1","&#x113a1;","TULU-TIGALARI LETTER TA"
"\D804\DFA2","\D804\DFA2","&#x113a2;","TULU-TIGALARI LETTER THA"
"\D804\DFA3","\D804\DFA3","&#x113a3;","TULU-TIGALARI LETTER DA"
"\D804\DFA4","\D804\DFA4","&#x113a4;","TULU-TIGALARI LETTER DHA"
"\D804\DFA5","\D804\DFA5","&#x113a5;","TULU-TIGALARI LETTER NA"
"\D804\DFA6","\D804\DFA6","&#x113a6;","TULU-TIGALARI LETTER PA"
"\D804\DFA7","\D804\DFA7","&#x113a7;","TULU-TIGALARI LETTER PHA"
"\D804\DFA8","\D804\DFA8","&#x113a8;","TULU-TIGALARI LETTER BA"
"\D804\DFA9","\D804\DFA9","&#x113a9;","TULU-TIGALARI LETTER BHA"
"\D804\DFAA","\D804\DFAA","&#x113aa;","TULU-TIGALARI LETTER MA"
"\D804\DFAB","\D804\DFAB","&#x113ab;","TULU-TIGALARI LETTER YA"
"\D804\DFAC","\D804\DFAC","&#x113ac;","TULU-TIGALARI LETTER RA"
"\D804\DFAD","\D804\DFAD","&#x113ad;","TULU-TIGALARI LETTER LA"
"\D804\DFAE","\D804\DFAE","&#x113ae;","TULU-TIGALARI LETTER VA"
"\D804\DFAF","\D804\DFAF","&#x113af;","TULU-TIGALARI LETTER SHA"
"\D804\DFB0","\D804\DFB0","&#x113b0;","TULU-TIGALARI LETTER SSA"
"\D804\DFB1","\D804\DFB1","&#x113b1;","TULU-TIGALARI LETTER SA"
"\D804\DFB2","\D804\DFB2","&#x113b2;","TULU-TIGALARI LETTER HA"
"\D804\DFB3","\D804\DFB3","&#x113b3;","TULU-TIGALARI LETTER LLA"
"\D804\DFB4","\D804\DFB4","&#x113b4;","TULU-TIGALARI LETTER RRA"
"\D804\DFB5","\D804\DFB5","&#x113b5;","TULU-TIGALARI LETTER LLLA"
"\D804\DFB7","\D804\DFB7","&#x113b7;","TULU-TIGALARI SIGN AVAGRAHA"
"\D804\DFB8","\D804\DFB8","&#x113b8;","TULU-TIGALARI VOWEL SIGN AA"
"\D804\DFB9","\D804\DFB9","&#x113b9;","TULU-TIGALARI VOWEL SIGN I"
"\D804\DFBA","\D804\DFBA","&#x113ba;","TULU-TIGALARI VOWEL SIGN II"
"\D804\DFBB","\D804\DFBB","&#x113bb;","TULU-TIGALARI VOWEL SIGN U"
"\D804\DFBC","\D804\DFBC","&#x113bc;","TULU-TIGALARI VOWEL SIGN UU"
"\D804\DFBD","\D804\DFBD","&#x113bd;","TULU-TIGALARI VOWEL SIGN VOCALIC R"
"\D804\DFBE","\D804\DFBE","&#x113be;","TULU-TIGALARI VOWEL SIGN VOCALIC RR"
"\D804\DFBF","\D804\DFBF","&#x113bf;","TULU-TIGALARI VOWEL SIGN VOCALIC L"
"\D804\DFC0","\D804\DFC0","&#x113c0;","TULU-TIGALARI VOWEL SIGN VOCALIC LL"
"\D804\DFC2","\D804\DFC2","&#x113c2;","TULU-TIGALARI VOWEL SIGN EE"
"\D804\DFC5","\D804\DFC5","&#x113c5;","TULU-TIGALARI VOWEL SIGN AI"
"\D804\DFC7","\D804\DFC7","&#x113c7;","TULU-TIGALARI VOWEL SIGN OO"
"\D804\DFC8","\D804\DFC8","&#x113c8;","TULU-TIGALARI VOWEL SIGN AU"
"\D804\DFC9","\D804\DFC9","&#x113c9;","TULU-TIGALARI AU LENGTH MARK"
"\D804\DFCA","\D804\DFCA","&#x113ca;","TULU-TIGALARI SIGN CANDRA ANUNASIKA"
"\D804\DFCC","\D804\DFCC","&#x113cc;","TULU-TIGALARI SIGN ANUSVARA"
"\D804\DFCD","\D804\DFCD","&#x113cd;","TULU-TIGALARI SIGN VISARGA"
"\D804\DFCE","\D804\DFCE","&#x113ce;","TULU-TIGALARI SIGN VIRAMA"
"\D804\DFCF","\D804\DFCF","&#x113cf;","TULU-TIGALARI SIGN LOOPED VIRAMA"
"\D804\DFD0","\D804\DFD0","&#x113d0;","TULU-TIGALARI CONJOINER"
"\D804\DFD1","\D804\DFD1","&#x113d1;","TULU-TIGALARI REPHA"
"\D804\DFD2","\D804\DFD2","&#x113d2;","TULU-TIGALARI GEMINATION MARK"
"\D804\DFD3","\D804\DFD3","&#x113d3;","TULU-TIGALARI SIGN PLUTA"
"\D804\DFD4","\D804\DFD4","&#x113d4;","TULU-TIGALARI DANDA"
"\D804\DFD5","\D804\DFD5","&#x113d5;","TULU-TIGALARI DOUBLE DANDA"
"\D804\DFD7","\D804\DFD7","&#x113d7;","TULU-TIGALARI SIGN OM PUSHPIKA"
"\D804\DFD8","\D804\DFD8","&#x113d8;","TULU-TIGALARI SIGN SHRII PUSHPIKA"
"\D804\DFE1","\D804\DFE1","&#x113e1;","TULU-TIGALARI VEDIC TONE SVARITA"
"\D804\DFE2","\D804\DFE2","&#x113e2;","TULU-TIGALARI VEDIC TONE ANUDATTA"
"\D805\DC00","\D805\DC00","&#x11400;","NEWA LETTER A"
"\D805\DC01","\D805\DC01","&#x11401;","NEWA LETTER AA"
"\D805\DC02","\D805\DC02","&#x11402;","NEWA LETTER I"
"\D805\DC03","\D805\DC03","&#x11403;","NEWA LETTER II"
"\D805\DC04","\D805\DC04","&#x11404;","NEWA LETTER U"
"\D805\DC05","\D805\DC05","&#x11405;","NEWA LETTER UU"
"\D805\DC06","\D805\DC06","&#x11406;","NEWA LETTER VOCALIC R"
"\D805\DC07","\D805\DC07","&#x11407;","NEWA LETTER VOCALIC RR"
"\D805\DC08","\D805\DC08","&#x11408;","NEWA LETTER VOCALIC L"
"\D805\DC09","\D805\DC09","&#x11409;","NEWA LETTER VOCALIC LL"
"\D805\DC0A","\D805\DC0A","&#x1140a;","NEWA LETTER E"
"\D805\DC0B","\D805\DC0B","&#x1140b;","NEWA LETTER AI"
"\D805\DC0C","\D805\DC0C","&#x1140c;","NEWA LETTER O"
"\D805\DC0D","\D805\DC0D","&#x1140d;","NEWA LETTER AU"
"\D805\DC0E","\D805\DC0E","&#x1140e;","NEWA LETTER KA"
"\D805\DC0F","\D805\DC0F","&#x1140f;","NEWA LETTER KHA"
"\D805\DC10","\D805\DC10","&#x11410;","NEWA LETTER GA"
"\D805\DC11","\D805\DC11","&#x11411;","NEWA LETTER GHA"
"\D805\DC12","\D805\DC12","&#x11412;","NEWA LETTER NGA"
"\D805\DC13","\D805\DC13","&#x11413;","NEWA LETTER NGHA"
"\D805\DC14","\D805\DC14","&#x11414;","NEWA LETTER CA"
"\D805\DC15","\D805\DC15","&#x11415;","NEWA LETTER CHA"
"\D805\DC16","\D805\DC16","&#x11416;","NEWA LETTER JA"
"\D805\DC17","\D805\DC17","&#x11417;","NEWA LETTER JHA"
"\D805\DC18","\D805\DC18","&#x11418;","NEWA LETTER NYA"
"\D805\DC19","\D805\DC19","&#x11419;","NEWA LETTER NYHA"
"\D805\DC1A","\D805\DC1A","&#x1141a;","NEWA LETTER TTA"
"\D805\DC1B","\D805\DC1B","&#x1141b;","NEWA LETTER TTHA"
"\D805\DC1C","\D805\DC1C","&#x1141c;","NEWA LETTER DDA"
"\D805\DC1D","\D805\DC1D","&#x1141d;","NEWA LETTER DDHA"
"\D805\DC1E","\D805\DC1E","&#x1141e;","NEWA LETTER NNA"
"\D805\DC1F","\D805\DC1F","&#x1141f;","NEWA LETTER TA"
"\D805\DC20","\D805\DC20","&#x11420;","NEWA LETTER THA"
"\D805\DC21","\D805\DC21","&#x11421;","NEWA LETTER DA"
"\D805\DC22","\D805\DC22","&#x11422;","NEWA LETTER DHA"
"\D805\DC23","\D805\DC23","&#x11423;","NEWA LETTER NA"
"\D805\DC24","\D805\DC24","&#x11424;","NEWA LETTER NHA"
"\D805\DC25","\D805\DC25","&#x11425;","NEWA LETTER PA"
"\D805\DC26","\D805\DC26","&#x11426;","NEWA LETTER PHA"
"\D805\DC27","\D805\DC27","&#x11427;","NEWA LETTER BA"
"\D805\DC28","\D805\DC28","&#x11428;","NEWA LETTER BHA"
"\D805\DC29","\D805\DC29","&#x11429;","NEWA LETTER MA"
"\D805\DC2A","\D805\DC2A","&#x1142a;","NEWA LETTER MHA"
"\D805\DC2B","\D805\DC2B","&#x1142b;","NEWA LETTER YA"
"\D805\DC2C","\D805\DC2C","&#x1142c;","NEWA LETTER RA"
"\D805\DC2D","\D805\DC2D","&#x1142d;","NEWA LETTER RHA"
"\D805\DC2E","\D805\DC2E","&#x1142e;","NEWA LETTER LA"
"\D805\DC2F","\D805\DC2F","&#x1142f;","NEWA LETTER LHA"
"\D805\DC30","\D805\DC30","&#x11430;","NEWA LETTER WA"
"\D805\DC31","\D805\DC31","&#x11431;","NEWA LETTER SHA"
"\D805\DC32","\D805\DC32","&#x11432;","NEWA LETTER SSA"
"\D805\DC33","\D805\DC33","&#x11433;","NEWA LETTER SA"
"\D805\DC34","\D805\DC34","&#x11434;","NEWA LETTER HA"
"\D805\DC35","\D805\DC35","&#x11435;","NEWA VOWEL SIGN AA"
"\D805\DC36","\D805\DC36","&#x11436;","NEWA VOWEL SIGN I"
"\D805\DC37","\D805\DC37","&#x11437;","NEWA VOWEL SIGN II"
"\D805\DC38","\D805\DC38","&#x11438;","NEWA VOWEL SIGN U"
"\D805\DC39","\D805\DC39","&#x11439;","NEWA VOWEL SIGN UU"
"\D805\DC3A","\D805\DC3A","&#x1143a;","NEWA VOWEL SIGN VOCALIC R"
"\D805\DC3B","\D805\DC3B","&#x1143b;","NEWA VOWEL SIGN VOCALIC RR"
"\D805\DC3C","\D805\DC3C","&#x1143c;","NEWA VOWEL SIGN VOCALIC L"
"\D805\DC3D","\D805\DC3D","&#x1143d;","NEWA VOWEL SIGN VOCALIC LL"
"\D805\DC3E","\D805\DC3E","&#x1143e;","NEWA VOWEL SIGN E"
"\D805\DC3F","\D805\DC3F","&#x1143f;","NEWA VOWEL SIGN AI"
"\D805\DC40","\D805\DC40","&#x11440;","NEWA VOWEL SIGN O"
"\D805\DC41","\D805\DC41","&#x11441;","NEWA VOWEL SIGN AU"
"\D805\DC42","\D805\DC42","&#x11442;","NEWA SIGN VIRAMA"
"\D805\DC43","\D805\DC43","&#x11443;","NEWA SIGN CANDRABINDU"
"\D805\DC44","\D805\DC44","&#x11444;","NEWA SIGN ANUSVARA"
"\D805\DC45","\D805\DC45","&#x11445;","NEWA SIGN VISARGA"
"\D805\DC46","\D805\DC46","&#x11446;","NEWA SIGN NUKTA"
"\D805\DC47","\D805\DC47","&#x11447;","NEWA SIGN AVAGRAHA"
"\D805\DC48","\D805\DC48","&#x11448;","NEWA SIGN FINAL ANUSVARA"
"\D805\DC49","\D805\DC49","&#x11449;","NEWA OM"
"\D805\DC4A","\D805\DC4A","&#x1144a;","NEWA SIDDHI"
"\D805\DC4B","\D805\DC4B","&#x1144b;","NEWA DANDA"
"\D805\DC4C","\D805\DC4C","&#x1144c;","NEWA DOUBLE DANDA"
"\D805\DC4D","\D805\DC4D","&#x1144d;","NEWA COMMA"
"\D805\DC4E","\D805\DC4E","&#x1144e;","NEWA GAP FILLER"
"\D805\DC4F","\D805\DC4F","&#x1144f;","NEWA ABBREVIATION SIGN"
"\D805\DC50","\D805\DC50","&#x11450;","NEWA DIGIT ZERO"
"\D805\DC51","\D805\DC51","&#x11451;","NEWA DIGIT ONE"
"\D805\DC52","\D805\DC52","&#x11452;","NEWA DIGIT TWO"
"\D805\DC53","\D805\DC53","&#x11453;","NEWA DIGIT THREE"
"\D805\DC54","\D805\DC54","&#x11454;","NEWA DIGIT FOUR"
"\D805\DC55","\D805\DC55","&#x11455;","NEWA DIGIT FIVE"
"\D805\DC56","\D805\DC56","&#x11456;","NEWA DIGIT SIX"
"\D805\DC57","\D805\DC57","&#x11457;","NEWA DIGIT SEVEN"
"\D805\DC58","\D805\DC58","&#x11458;","NEWA DIGIT EIGHT"
"\D805\DC59","\D805\DC59","&#x11459;","NEWA DIGIT NINE"
"\D805\DC5A","\D805\DC5A","&#x1145a;","NEWA DOUBLE COMMA"
"\D805\DC5B","\D805\DC5B","&#x1145b;","NEWA PLACEHOLDER MARK"
"\D805\DC5D","\D805\DC5D","&#x1145d;","NEWA INSERTION SIGN"
"\D805\DC5E","\D805\DC5E","&#x1145e;","NEWA SANDHI MARK"
"\D805\DC5F","\D805\DC5F","&#x1145f;","NEWA LETTER VEDIC ANUSVARA"
"\D805\DC60","\D805\DC60","&#x11460;","NEWA SIGN JIHVAMULIYA"
"\D805\DC61","\D805\DC61","&#x11461;","NEWA SIGN UPHADHMANIYA"
"\D805\DC80","\D805\DC80","&#x11480;","TIRHUTA ANJI"
"\D805\DC81","\D805\DC81","&#x11481;","TIRHUTA LETTER A"
"\D805\DC82","\D805\DC82","&#x11482;","TIRHUTA LETTER AA"
"\D805\DC83","\D805\DC83","&#x11483;","TIRHUTA LETTER I"
"\D805\DC84","\D805\DC84","&#x11484;","TIRHUTA LETTER II"
"\D805\DC85","\D805\DC85","&#x11485;","TIRHUTA LETTER U"
"\D805\DC86","\D805\DC86","&#x11486;","TIRHUTA LETTER UU"
"\D805\DC87","\D805\DC87","&#x11487;","TIRHUTA LETTER VOCALIC R"
"\D805\DC88","\D805\DC88","&#x11488;","TIRHUTA LETTER VOCALIC RR"
"\D805\DC89","\D805\DC89","&#x11489;","TIRHUTA LETTER VOCALIC L"
"\D805\DC8A","\D805\DC8A","&#x1148a;","TIRHUTA LETTER VOCALIC LL"
"\D805\DC8B","\D805\DC8B","&#x1148b;","TIRHUTA LETTER E"
"\D805\DC8C","\D805\DC8C","&#x1148c;","TIRHUTA LETTER AI"
"\D805\DC8D","\D805\DC8D","&#x1148d;","TIRHUTA LETTER O"
"\D805\DC8E","\D805\DC8E","&#x1148e;","TIRHUTA LETTER AU"
"\D805\DC8F","\D805\DC8F","&#x1148f;","TIRHUTA LETTER KA"
"\D805\DC90","\D805\DC90","&#x11490;","TIRHUTA LETTER KHA"
"\D805\DC91","\D805\DC91","&#x11491;","TIRHUTA LETTER GA"
"\D805\DC92","\D805\DC92","&#x11492;","TIRHUTA LETTER GHA"
"\D805\DC93","\D805\DC93","&#x11493;","TIRHUTA LETTER NGA"
"\D805\DC94","\D805\DC94","&#x11494;","TIRHUTA LETTER CA"
"\D805\DC95","\D805\DC95","&#x11495;","TIRHUTA LETTER CHA"
"\D805\DC96","\D805\DC96","&#x11496;","TIRHUTA LETTER JA"
"\D805\DC97","\D805\DC97","&#x11497;","TIRHUTA LETTER JHA"
"\D805\DC98","\D805\DC98","&#x11498;","TIRHUTA LETTER NYA"
"\D805\DC99","\D805\DC99","&#x11499;","TIRHUTA LETTER TTA"
"\D805\DC9A","\D805\DC9A","&#x1149a;","TIRHUTA LETTER TTHA"
"\D805\DC9B","\D805\DC9B","&#x1149b;","TIRHUTA LETTER DDA"
"\D805\DC9C","\D805\DC9C","&#x1149c;","TIRHUTA LETTER DDHA"
"\D805\DC9D","\D805\DC9D","&#x1149d;","TIRHUTA LETTER NNA"
"\D805\DC9E","\D805\DC9E","&#x1149e;","TIRHUTA LETTER TA"
"\D805\DC9F","\D805\DC9F","&#x1149f;","TIRHUTA LETTER THA"
"\D805\DCA0","\D805\DCA0","&#x114a0;","TIRHUTA LETTER DA"
"\D805\DCA1","\D805\DCA1","&#x114a1;","TIRHUTA LETTER DHA"
"\D805\DCA2","\D805\DCA2","&#x114a2;","TIRHUTA LETTER NA"
"\D805\DCA3","\D805\DCA3","&#x114a3;","TIRHUTA LETTER PA"
"\D805\DCA4","\D805\DCA4","&#x114a4;","TIRHUTA LETTER PHA"
"\D805\DCA5","\D805\DCA5","&#x114a5;","TIRHUTA LETTER BA"
"\D805\DCA6","\D805\DCA6","&#x114a6;","TIRHUTA LETTER BHA"
"\D805\DCA7","\D805\DCA7","&#x114a7;","TIRHUTA LETTER MA"
"\D805\DCA8","\D805\DCA8","&#x114a8;","TIRHUTA LETTER YA"
"\D805\DCA9","\D805\DCA9","&#x114a9;","TIRHUTA LETTER RA"
"\D805\DCAA","\D805\DCAA","&#x114aa;","TIRHUTA LETTER LA"
"\D805\DCAB","\D805\DCAB","&#x114ab;","TIRHUTA LETTER VA"
"\D805\DCAC","\D805\DCAC","&#x114ac;","TIRHUTA LETTER SHA"
"\D805\DCAD","\D805\DCAD","&#x114ad;","TIRHUTA LETTER SSA"
"\D805\DCAE","\D805\DCAE","&#x114ae;","TIRHUTA LETTER SA"
"\D805\DCAF","\D805\DCAF","&#x114af;","TIRHUTA LETTER HA"
"\D805\DCB0","\D805\DCB0","&#x114b0;","TIRHUTA VOWEL SIGN AA"
"\D805\DCB1","\D805\DCB1","&#x114b1;","TIRHUTA VOWEL SIGN I"
"\D805\DCB2","\D805\DCB2","&#x114b2;","TIRHUTA VOWEL SIGN II"
"\D805\DCB3","\D805\DCB3","&#x114b3;","TIRHUTA VOWEL SIGN U"
"\D805\DCB4","\D805\DCB4","&#x114b4;","TIRHUTA VOWEL SIGN UU"
"\D805\DCB5","\D805\DCB5","&#x114b5;","TIRHUTA VOWEL SIGN VOCALIC R"
"\D805\DCB6","\D805\DCB6","&#x114b6;","TIRHUTA VOWEL SIGN VOCALIC RR"
"\D805\DCB7","\D805\DCB7","&#x114b7;","TIRHUTA VOWEL SIGN VOCALIC L"
"\D805\DCB8","\D805\DCB8","&#x114b8;","TIRHUTA VOWEL SIGN VOCALIC LL"
"\D805\DCB9","\D805\DCB9","&#x114b9;","TIRHUTA VOWEL SIGN E"
"\D805\DCBA","\D805\DCBA","&#x114ba;","TIRHUTA VOWEL SIGN SHORT E"
"\D805\DCBB","\D805\DCBB","&#x114bb;","TIRHUTA VOWEL SIGN AI"
"\D805\DCBC","\D805\DCBC","&#x114bc;","TIRHUTA VOWEL SIGN O"
"\D805\DCBD","\D805\DCBD","&#x114bd;","TIRHUTA VOWEL SIGN SHORT O"
"\D805\DCBE","\D805\DCBE","&#x114be;","TIRHUTA VOWEL SIGN AU"
